,Lon_N,Lat_N,Lon_S,Lat_S
419,144.171,79.1774,249.53,-83.8549
420,144.156,79.1966,249.338,-83.8666
421,144.14,79.2158,249.145,-83.8784
422,144.125,79.2351,248.951,-83.8901
423,144.109,79.2543,248.757,-83.9018
424,144.094,79.2736,248.563,-83.9134
425,144.079,79.2928,248.368,-83.9251
426,144.063,79.3121,248.173,-83.9367
427,144.048,79.3314,247.977,-83.9482
428,144.032,79.3508,247.781,-83.9598
429,144.017,79.3701,247.584,-83.9713
430,144.002,79.3894,247.387,-83.9828
431,143.987,79.4088,247.189,-83.9943
432,143.971,79.4282,246.991,-84.0057
433,143.956,79.4475,246.792,-84.0172
434,143.941,79.467,246.593,-84.0285
435,143.926,79.4864,246.394,-84.0399
436,143.911,79.5058,246.194,-84.0512
437,143.895,79.5253,245.993,-84.0625
438,143.88,79.5447,245.792,-84.0738
439,143.865,79.5642,245.591,-84.0851
440,143.85,79.5837,245.389,-84.0963
441,143.835,79.6032,245.186,-84.1075
442,143.82,79.6227,244.983,-84.1186
443,143.806,79.6422,244.78,-84.1297
444,143.791,79.6618,244.576,-84.1408
445,143.776,79.6814,244.372,-84.1519
446,143.761,79.7009,244.167,-84.1629
447,143.747,79.7205,243.961,-84.174
448,143.732,79.7401,243.755,-84.1849
449,143.717,79.7598,243.549,-84.1959
450,143.703,79.7794,243.342,-84.2068
451,143.688,79.7991,243.135,-84.2176
452,143.674,79.8187,242.927,-84.2285
453,143.659,79.8384,242.719,-84.2393
454,143.645,79.8581,242.51,-84.2501
455,143.631,79.8778,242.3,-84.2608
456,143.617,79.8975,242.091,-84.2716
457,143.602,79.9173,241.88,-84.2822
458,143.588,79.9371,241.669,-84.2929
459,143.574,79.9568,241.458,-84.3035
460,143.56,79.9766,241.246,-84.3141
461,143.546,79.9964,241.034,-84.3246
462,143.532,80.0162,240.821,-84.3351
463,143.519,80.0361,240.607,-84.3456
464,143.505,80.0559,240.394,-84.356
465,143.491,80.0758,240.179,-84.3665
466,143.478,80.0956,239.964,-84.3768
467,143.464,80.1155,239.749,-84.3872
468,143.451,80.1354,239.533,-84.3975
469,143.437,80.1554,239.316,-84.4077
470,143.424,80.1753,239.099,-84.4179
471,143.411,80.1953,238.882,-84.4281
472,143.398,80.2152,238.664,-84.4383
473,143.385,80.2352,238.445,-84.4484
474,143.372,80.2552,238.226,-84.4585
475,143.359,80.2752,238.007,-84.4685
476,143.346,80.2952,237.786,-84.4785
477,143.333,80.3153,237.566,-84.4885
478,143.321,80.3353,237.345,-84.4984
479,143.308,80.3554,237.123,-84.5083
480,143.296,80.3755,236.901,-84.5181
481,143.284,80.3956,236.678,-84.528
482,143.271,80.4157,236.455,-84.5377
483,143.259,80.4358,236.231,-84.5474
484,143.247,80.456,236.007,-84.5571
485,143.235,80.4761,235.782,-84.5668
486,143.223,80.4963,235.557,-84.5764
487,143.212,80.5165,235.331,-84.586
488,143.2,80.5367,235.104,-84.5955
489,143.188,80.5569,234.877,-84.605
490,143.177,80.5771,234.65,-84.6144
491,143.166,80.5974,234.422,-84.6238
492,143.154,80.6177,234.194,-84.6332
493,143.143,80.6379,233.965,-84.6425
