,Lon_N,Lat_N,Lon_S,Lat_S
335,140.562,77.5428,261.935,-82.187
336,140.541,77.5626,261.778,-82.2005
337,140.519,77.5825,261.621,-82.2141
338,140.498,77.6023,261.463,-82.2276
339,140.476,77.6221,261.305,-82.2412
340,140.454,77.6419,261.147,-82.2547
341,140.432,77.6618,260.988,-82.2681
342,140.41,77.6816,260.829,-82.2815
343,140.388,77.7015,260.67,-82.295
344,140.366,77.7213,260.51,-82.3084
345,140.343,77.7412,260.35,-82.3217
346,140.321,77.761,260.19,-82.3351
347,140.298,77.7809,260.029,-82.3484
348,140.275,77.8008,259.868,-82.3617
349,140.252,77.8207,259.706,-82.375
350,140.229,77.8406,259.545,-82.3882
351,140.206,77.8605,259.383,-82.4014
352,140.182,77.8804,259.22,-82.4146
353,140.159,77.9003,259.057,-82.4278
354,140.135,77.9202,258.894,-82.441
355,140.111,77.9401,258.73,-82.4541
356,140.087,77.9601,258.567,-82.4672
357,140.063,77.98,258.402,-82.4802
358,140.039,78,258.238,-82.4933
359,140.014,78.0199,258.073,-82.5063
360,139.99,78.0399,257.908,-82.5193
361,139.965,78.0599,257.742,-82.5322
362,139.941,78.0798,257.576,-82.5452
363,139.916,78.0999,257.409,-82.5581
364,139.891,78.1199,257.243,-82.5709
365,139.866,78.1399,257.076,-82.5838
366,139.84,78.1599,256.908,-82.5966
367,139.815,78.1799,256.74,-82.6094
368,139.789,78.2,256.572,-82.6222
369,139.764,78.22,256.403,-82.6349
370,139.738,78.2401,256.234,-82.6476
371,139.712,78.2602,256.065,-82.6603
372,139.686,78.2803,255.895,-82.6729
373,139.66,78.3003,255.725,-82.6855
374,139.633,78.3205,255.555,-82.6981
375,139.607,78.3406,255.384,-82.7107
376,139.58,78.3607,255.213,-82.7232
377,139.554,78.3808,255.041,-82.7357
378,139.527,78.401,254.869,-82.7482
379,139.5,78.4212,254.697,-82.7606
380,139.473,78.4413,254.524,-82.773
381,139.446,78.4615,254.351,-82.7854
382,139.418,78.4817,254.177,-82.7977
383,139.391,78.5019,254.003,-82.81
384,139.363,78.5222,253.829,-82.8223
385,139.336,78.5424,253.655,-82.8346
386,139.308,78.5627,253.479,-82.8468
387,139.28,78.5829,253.304,-82.859
388,139.252,78.6032,253.128,-82.8711
389,139.224,78.6235,252.952,-82.8832
390,139.196,78.6438,252.775,-82.8953
391,139.167,78.6641,252.598,-82.9074
392,139.139,78.6844,252.421,-82.9194
393,139.11,78.7048,252.243,-82.9314
394,139.081,78.7251,252.065,-82.9434
395,139.052,78.7455,251.886,-82.9553
396,139.023,78.7659,251.707,-82.9672
397,138.994,78.7863,251.528,-82.979
398,138.965,78.8067,251.348,-82.9908
399,138.936,78.8271,251.168,-83.0026
400,138.906,78.8475,250.988,-83.0144
401,138.876,78.868,250.807,-83.0261
402,138.847,78.8885,250.625,-83.0378
403,138.817,78.9089,250.443,-83.0494
404,138.787,78.9294,250.261,-83.061
405,138.757,78.95,250.079,-83.0726
406,138.727,78.9705,249.896,-83.0841
407,138.697,78.991,249.712,-83.0956
408,138.666,79.0116,249.528,-83.1071
409,138.636,79.0322,249.344,-83.1185
410,138.605,79.0527,249.16,-83.1299
411,138.574,79.0733,248.974,-83.1413
412,138.543,79.094,248.789,-83.1526
413,138.512,79.1146,248.603,-83.1639
414,138.481,79.1353,248.417,-83.1751
415,138.45,79.1559,248.23,-83.1863
416,138.419,79.1766,248.043,-83.1975
417,138.388,79.1973,247.856,-83.2086
418,138.356,79.218,247.668,-83.2197
419,138.324,79.2388,247.479,-83.2308
420,138.293,79.2595,247.291,-83.2418
421,138.261,79.2803,247.101,-83.2527
422,138.229,79.3011,246.912,-83.2637
423,138.197,79.3219,246.722,-83.2746
424,138.165,79.3427,246.531,-83.2854
425,138.133,79.3635,246.341,-83.2962
426,138.1,79.3844,246.149,-83.307
427,138.068,79.4052,245.958,-83.3178
428,138.035,79.4261,245.766,-83.3285
429,138.003,79.447,245.573,-83.3391
430,137.97,79.4679,245.38,-83.3497
431,137.937,79.4889,245.187,-83.3603
432,137.904,79.5098,244.993,-83.3708
433,137.871,79.5308,244.799,-83.3813
434,137.838,79.5518,244.604,-83.3918
435,137.805,79.5728,244.409,-83.4022
436,137.772,79.5938,244.214,-83.4125
437,137.738,79.6149,244.018,-83.4229
438,137.705,79.6359,243.822,-83.4331
439,137.671,79.657,243.625,-83.4434
440,137.637,79.6781,243.428,-83.4536
441,137.604,79.6992,243.23,-83.4637
442,137.57,79.7204,243.032,-83.4738
443,137.536,79.7415,242.834,-83.4839
444,137.502,79.7627,242.635,-83.4939
445,137.468,79.7839,242.436,-83.5039
446,137.433,79.8051,242.236,-83.5138
447,137.399,79.8263,242.036,-83.5237
448,137.365,79.8476,241.836,-83.5335
449,137.33,79.8688,241.635,-83.5433
450,137.295,79.8901,241.433,-83.5531
451,137.261,79.9114,241.231,-83.5628
452,137.226,79.9328,241.029,-83.5724
453,137.191,79.9541,240.827,-83.5821
454,137.156,79.9755,240.624,-83.5916
455,137.121,79.9968,240.42,-83.6012
456,137.086,80.0182,240.216,-83.6106
457,137.051,80.0397,240.012,-83.6201
458,137.016,80.0611,239.807,-83.6294
459,136.98,80.0826,239.602,-83.6388
460,136.945,80.104,239.397,-83.6481
461,136.909,80.1255,239.191,-83.6573
462,136.874,80.147,238.984,-83.6665
