Lon_euro,Lon_efp,Lat_efp
51.4000,43.1452,-62.1220
51.5000,43.2122,-62.1216
51.6000,43.2792,-62.1213
51.7000,43.3463,-62.1210
51.8000,43.4133,-62.1207
51.9000,43.4803,-62.1205
52.0000,43.5473,-62.1202
52.1000,43.6143,-62.1200
52.2000,43.6813,-62.1198
52.3000,43.7482,-62.1196
52.4000,43.8152,-62.1195
52.5000,43.8822,-62.1193
52.6000,43.9491,-62.1192
52.7000,44.0161,-62.1191
52.8000,44.0831,-62.1190
52.9000,44.15,-62.1190
53.0000,44.2169,-62.1189
53.1000,44.2839,-62.1189
53.2000,44.3508,-62.1189
53.3000,44.4177,-62.1189
53.4000,44.4847,-62.1189
53.5000,44.5516,-62.1190
53.6000,44.6185,-62.1190
53.7000,44.6854,-62.1191
53.8000,44.7523,-62.1192
53.9000,44.8192,-62.1193
54.0000,44.8861,-62.1195
54.1000,44.953,-62.1196
54.2000,45.0198,-62.1198
54.3000,45.0867,-62.1200
54.4000,45.1536,-62.1202
54.5000,45.2204,-62.1204
54.6000,45.2873,-62.1207
54.7000,45.3541,-62.1209
54.8000,45.421,-62.1212
54.9000,45.4878,-62.1215
55.0000,45.5547,-62.1218
55.1000,45.6215,-62.1221
55.2000,45.6883,-62.1224
55.3000,45.7552,-62.1228
55.4000,45.822,-62.1232
55.5000,45.8888,-62.1236
55.6000,45.9556,-62.1240
55.7000,46.0224,-62.1244
55.8000,46.0892,-62.1248
55.9000,46.156,-62.1253
56.0000,46.2228,-62.1257
56.1000,46.2896,-62.1262
56.2000,46.3564,-62.1267
56.3000,46.4232,-62.1273
56.4000,46.4899,-62.1278
56.5000,46.5567,-62.1283
56.6000,46.6235,-62.1289
56.7000,46.6902,-62.1295
56.8000,46.757,-62.1301
56.9000,46.8238,-62.1307
57.0000,46.8905,-62.1313
57.1000,46.9573,-62.1319
57.2000,47.024,-62.1326
57.3000,47.0907,-62.1333
57.4000,47.1575,-62.1340
57.5000,47.2242,-62.1346
57.6000,47.291,-62.1354
57.7000,47.3577,-62.1361
57.8000,47.4244,-62.1368
57.9000,47.4911,-62.1376
58.0000,47.5578,-62.1384
58.1000,47.6246,-62.1392
58.2000,47.6913,-62.1400
58.3000,47.758,-62.1408
58.4000,47.8247,-62.1416
58.5000,47.8914,-62.1424
58.6000,47.9581,-62.1433
58.7000,48.0248,-62.1442
58.8000,48.0915,-62.1451
58.9000,48.1581,-62.1460
59.0000,48.2248,-62.1469
59.1000,48.2915,-62.1478
59.2000,48.3582,-62.1487
59.3000,48.4249,-62.1497
59.4000,48.4916,-62.1507
59.5000,48.5582,-62.1516
59.6000,48.6249,-62.1526
59.7000,48.6916,-62.1536
59.8000,48.7582,-62.1547
59.9000,48.8249,-62.1557
60.0000,48.8916,-62.1568
60.1000,48.9582,-62.1578
60.2000,49.0249,-62.1589
60.3000,49.0915,-62.1600
60.4000,49.1582,-62.1611
60.5000,49.2248,-62.1622
60.6000,49.2915,-62.1633
60.7000,49.3581,-62.1645
60.8000,49.4247,-62.1656
60.9000,49.4914,-62.1668
61.0000,49.558,-62.1680
61.1000,49.6247,-62.1691
61.2000,49.6913,-62.1703
61.3000,49.7579,-62.1716
61.4000,49.8246,-62.1728
61.5000,49.8912,-62.1740
61.6000,49.9578,-62.1753
61.7000,50.0245,-62.1765
61.8000,50.0911,-62.1778
