Lon_io_S,Lon_ifp_S,Lat_ifp_S,Lon_io_N,Lon_ifp_N,Lat_ifp_N
236.5,245.407,-74.8609,236.5,202.989,57.1621
236.6,245.533,-74.8496,236.6,203.049,57.1797
236.7,245.658,-74.8383,236.7,203.109,57.1972
236.8,245.783,-74.8269,236.8,203.169,57.2148
236.9,245.909,-74.8156,236.9,203.229,57.2325
237,246.034,-74.8042,237,203.29,57.2501
237.1,246.159,-74.7927,237.1,203.35,57.2678
237.2,246.284,-74.7813,237.2,203.41,57.2854
237.3,246.409,-74.7698,237.3,203.47,57.3031
237.4,246.534,-74.7583,237.4,203.531,57.3208
237.5,246.659,-74.7468,237.5,203.591,57.3386
237.6,246.784,-74.7353,237.6,203.652,57.3563
237.7,246.909,-74.7238,237.7,203.712,57.3741
237.8,247.034,-74.7122,237.8,203.773,57.3918
237.9,247.159,-74.7006,237.9,203.834,57.4096
238,247.284,-74.689,238,203.894,57.4275
238.1,247.408,-74.6773,238.1,203.955,57.4453
238.2,247.533,-74.6657,238.2,204.016,57.4631
238.3,247.657,-74.654,238.3,204.077,57.481
238.4,247.782,-74.6423,238.4,204.138,57.4989
238.5,247.906,-74.6306,238.5,204.199,57.5168
238.6,248.031,-74.6188,238.6,204.26,57.5347
238.7,248.155,-74.6071,238.7,204.321,57.5526
238.8,248.279,-74.5953,238.8,204.383,57.5706
238.9,248.404,-74.5835,238.9,204.444,57.5885
239,248.528,-74.5716,239,204.505,57.6065
239.1,248.652,-74.5598,239.1,204.567,57.6245
239.2,248.776,-74.5479,239.2,204.628,57.6425
239.3,248.9,-74.536,239.3,204.69,57.6606
239.4,249.024,-74.5241,239.4,204.752,57.6786
239.5,249.148,-74.5122,239.5,204.813,57.6967
239.6,249.272,-74.5003,239.6,204.875,57.7148
239.7,249.396,-74.4883,239.7,204.937,57.7329
239.8,249.52,-74.4763,239.8,204.999,57.751
239.9,249.644,-74.4643,239.9,205.061,57.7691
240,249.767,-74.4522,240,205.123,57.7873
240.1,249.891,-74.4402,240.1,205.185,57.8054
240.2,250.015,-74.4281,240.2,205.247,57.8236
240.3,250.138,-74.416,240.3,205.31,57.8418
240.4,250.262,-74.4039,240.4,205.372,57.86
240.5,250.385,-74.3918,240.5,205.434,57.8782
240.6,250.509,-74.3796,240.6,205.497,57.8965
240.7,250.632,-74.3674,240.7,205.559,57.9147
240.8,250.756,-74.3552,240.8,205.622,57.933
240.9,250.879,-74.343,240.9,205.685,57.9513
241,251.002,-74.3308,241,205.748,57.9696
241.1,251.126,-74.3185,241.1,205.811,57.9879
241.2,251.249,-74.3063,241.2,205.873,58.0062
241.3,251.372,-74.294,241.3,205.937,58.0246
241.4,251.495,-74.2817,241.4,206,58.043
241.5,251.618,-74.2693,241.5,206.063,58.0613
241.6,251.742,-74.257,241.6,206.126,58.0797
241.7,251.865,-74.2446,241.7,206.189,58.0981
241.8,251.988,-74.2322,241.8,206.253,58.1166
241.9,252.111,-74.2198,241.9,206.316,58.135
242,252.234,-74.2074,242,206.38,58.1534
242.1,252.356,-74.1949,242.1,206.444,58.1719
242.2,252.479,-74.1824,242.2,206.507,58.1904
242.3,252.602,-74.17,242.3,206.571,58.2089
242.4,252.725,-74.1574,242.4,206.635,58.2274
242.5,252.848,-74.1449,242.5,206.699,58.2459
242.6,252.97,-74.1324,242.6,206.763,58.2645
242.7,253.093,-74.1198,242.7,206.827,58.283
242.8,253.216,-74.1072,242.8,206.891,58.3016
242.9,253.338,-74.0946,242.9,206.956,58.3201
243,253.461,-74.082,243,207.02,58.3387
243.1,253.583,-74.0694,243.1,207.085,58.3573
243.2,253.706,-74.0567,243.2,207.149,58.3759
243.3,253.828,-74.044,243.3,207.214,58.3946
243.4,253.951,-74.0313,243.4,207.278,58.4132
243.5,254.073,-74.0186,243.5,207.343,58.4319
243.6,254.196,-74.0059,243.6,207.408,58.4505
243.7,254.318,-73.9931,243.7,207.473,58.4692
243.8,254.44,-73.9804,243.8,207.538,58.4879
243.9,254.562,-73.9676,243.9,207.603,58.5066
244,254.685,-73.9548,244,207.669,58.5253
244.1,254.807,-73.9419,244.1,207.734,58.5441
244.2,254.929,-73.9291,244.2,207.799,58.5628
244.3,255.051,-73.9162,244.3,207.865,58.5816
244.4,255.173,-73.9034,244.4,207.931,58.6003
244.5,255.295,-73.8905,244.5,207.996,58.6191
244.6,255.417,-73.8776,244.6,208.062,58.6379
244.7,255.539,-73.8646,244.7,208.128,58.6567
244.8,255.661,-73.8517,244.8,208.194,58.6755
244.9,255.783,-73.8387,244.9,208.26,58.6944
245,255.905,-73.8257,245,208.326,58.7132
245.1,256.027,-73.8127,245.1,208.392,58.732
245.2,256.149,-73.7997,245.2,208.459,58.7509
245.3,256.271,-73.7867,245.3,208.525,58.7698
245.4,256.393,-73.7736,245.4,208.592,58.7887
245.5,256.514,-73.7606,245.5,208.658,58.8076
245.6,256.636,-73.7475,245.6,208.725,58.8265
245.7,256.758,-73.7344,245.7,208.792,58.8454
245.8,256.879,-73.7213,245.8,208.859,58.8643
245.9,257.001,-73.7081,245.9,208.926,58.8832
246,257.123,-73.695,246,208.993,58.9022
246.1,257.244,-73.6818,246.1,209.06,58.9211
246.2,257.366,-73.6686,246.2,209.128,58.9401
246.3,257.487,-73.6554,246.3,209.195,58.9591
246.4,257.609,-73.6422,246.4,209.262,58.9781
246.5,257.73,-73.629,246.5,209.33,58.9971
246.6,257.852,-73.6157,246.6,209.398,59.0161
246.7,257.973,-73.6025,246.7,209.466,59.0351
246.8,258.094,-73.5892,246.8,209.534,59.0541
246.9,258.216,-73.5759,246.9,209.602,59.0732
247,258.337,-73.5626,247,209.67,59.0922
247.1,258.458,-73.5492,247.1,209.738,59.1113
247.2,258.579,-73.5359,247.2,209.806,59.1303
247.3,258.7,-73.5225,247.3,209.875,59.1494
247.4,258.822,-73.5092,247.4,209.943,59.1685
247.5,258.943,-73.4958,247.5,210.012,59.1876
247.6,259.064,-73.4824,247.6,210.081,59.2067
247.7,259.185,-73.469,247.7,210.149,59.2258
247.8,259.306,-73.4555,247.8,210.218,59.2449
247.9,259.427,-73.4421,247.9,210.288,59.264
